YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
2002  0.70 -0.56  0.39 -0.38  0.52  0.18 -0.65  0.09  0.46  0.78  0.45  1.60
2003 -0.39  0.87  1.24  0.31 -0.85  1.79 -0.23 -1.58 -1.04 -0.58  0.32  0.31
2004 -0.35  0.63  0.87  0.90 -0.12 -0.06 -0.28 -1.22 -0.17 -0.43  0.10  0.24
2005  0.08 -0.65  0.40 -0.02 -1.30  0.36  0.22 -1.60 -0.91 -0.88 -1.14 -0.71
2006  0.82 -0.61  1.52 -0.86 -0.93 -1.07  1.01 -0.97  0.41  0.50 -0.27  1.31
2007 -0.00  0.74 -0.02  1.53  0.03  0.11 -0.30 -1.70 -0.77 -1.07 -0.50  0.28
2008 -0.64  0.12 -0.47 -0.38  0.71  0.06  0.53 -0.28 -0.77 -0.90 -1.28 -1.46
2009 -1.33 -1.17  0.18  1.26  0.21  1.23  0.70 -0.30 -0.22  0.34 -0.42 -0.82
2010 -0.55 -1.02  1.08 -0.67 -2.05 -1.91 -1.42 -0.77 -1.08 -0.03 -0.96 -1.99
2011 -0.38  0.58  0.08  1.23 -1.52 -0.33 -0.79  0.97 -0.29  0.12  2.08 -0.50
2012 -0.46 -0.64  1.35 -1.59 -0.47  0.01 -1.43  1.15 -0.49 -1.01 -0.59 -0.88
2013  0.46 -1.28  2.31 -0.40 -2.06 -2.30 -0.17 -1.94 -0.58  0.63 -0.88 -0.36
2014 -1.32 -1.93 -0.11  1.23 -1.45  0.03 -0.31 -1.69  0.47 -0.37  1.28 -0.44
2015 -0.24 -0.92  0.27  1.12 -1.50 -0.78  2.01 -0.37 -1.67  0.59  0.56  1.28
2016 -0.50 -2.39  0.26 -0.50 -1.99 -1.85 -1.01 -3.30  0.13 -1.33 -0.93  1.52
2017  0.63  1.14 -1.02  0.71  1.48  0.34 -0.58 -2.93 -2.52 -0.02 -1.21 -1.63
2018 -1.62 -1.40  4.03  0.49 -1.45 -0.24 -2.16 -0.47 -1.76  0.36  1.51 -0.43
2019  0.72  0.45 -1.15  0.82 -0.70  0.30  1.02 -1.68  0.79 -0.52 -0.59  0.15
2020  0.66 -0.06  0.57  1.82 -0.55 -2.01 -0.68  0.64 -0.94 -1.82  0.08 -1.11
2021 -1.34  0.83  2.98 -0.43 -1.22 -1.77 -0.49 -2.37  0.53 -0.62  0.01 -0.04
2022  1.11 -0.92  1.41 -0.09  0.90 -0.51 -1.17 -3.43 -1.05 -0.74  0.80 -1.15
2023 -0.61  1.54  1.99 -0.22 -2.21  0.37 -1.83 -2.35 -2.14  0.61  0.13  0.08
2024  0.55 -0.21  1.08 -0.74  0.30 -2.32 -0.41 -0.25 -3.38 -1.35  1.10  0.01
2025 -1.34  0.26  0.15  0.53 -0.21 -1.86 -0.22 -1.36 -2.20 -1.01  0.29 -0.18
2026 -1.33 -0.63
